,z0_s1,z0_s2,z0_s3,z0_s4
288,0.00010193712061877062,0.0013991763760457599,7.47393548595691e-05,6.260393739747337e-05
289,0.0001372506604109696,0.0015045295473678669,2.2297374949462287e-05,0.0004044694428506453
290,5.001585143583545e-06,0.0022113028150203247,0.0006403090225177447,9.874984244044458e-05
291,0.0002316755257678806,0.0015025310349504823,0.004294046157839564,0.0008853021281315447
292,0.00024214211987763737,0.0006830383836449596,0.00016476127816312153,0.00017349306343687336
293,0.0002045674763555939,0.0005159132274875841,2.2545210546303287e-05,0.0005666996532060375
294,0.0001937174640232989,0.00109006677226102,0.00029242768973576237,0.0008162996516827511
295,0.000307453513290726,0.0002357020258330768,0.0007068575388332094,0.001103832222035906
296,0.0004200134073929519,0.0022232658292418417,0.0031444130260678115,0.0012544328342280115
297,0.00028796377858357415,0.00011109964015222821,0.014086619201791427,0.00189486012535384
298,0.0004502903012219535,0.0018847951901308235,0.0010419356219056328,0.002818315970586141
299,0.0010191508225440773,0.0024193762240147863,0.08029745060993956,0.0015367786194359517
300,0.0014055942165636217,0.005353398498977438,0.11674448658540396,0.0014877862253045461
301,0.003419203735993328,0.00035210062307119327,0.05480381131164931,0.001328399088158713
302,0.00428360553190234,0.0006656863958889287,0.00010007317508464129,0.0007277271026275334
303,0.003138259009349458,0.0005724586616088623,0.0069892786143901185,0.0015273301417933322
304,0.0023026321459898463,0.0001875813060683549,0.014483417288058957,0.006190769868971615
305,0.0026175201749502213,0.0024867368809966314,0.008158209789126639,0.006196788523660938
306,0.0008758614017390909,0.002200098036290637,0.009624641472142547,0.0038054653865978753
307,0.0006013243332984361,0.00043915788743480096,0.0002982144931567021,0.00020381566392119004
308,3.378375745878147e-05,0.00019102378127004035,0.00021233073153613166,0.00019692963496111354
309,2.158302620668828e-08,0.0003180342051308129,0.0003488211990762963,0.00037878861159435705
310,1.0763721948008706e-08,0.0004791306495208594,0.001135076981416539,0.0009683254945144885
311,3.176350145545421e-05,0.0018731705104412858,0.004173492123782731,0.0013872548250628133
312,3.449053987816169e-05,0.001193707299797199,0.001682027798396901,0.0017199680362861138
313,3.359336684066686e-05,0.0008585166573949705,0.0008548323779181916,0.0011266877400899925
314,3.2049087382626137e-05,0.00040609767513090795,0.0004057426968947666,0.0003824171324859936
315,5.425237802477304e-05,0.00045807298834459596,0.0005449806235787601,0.0005344470830981771
